;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_metric;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
5;3.6285;0.0461;48.1034;0.8674;euclidean;11;distance;{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'};0.6344;0.6602;0.6516;0.6492;0.6328;0.6456;0.0105;1
4;3.6735;0.0484;48.0856;0.6725;euclidean;11;uniform;{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'};0.6289;0.6602;0.6516;0.6477;0.6367;0.645;0.011;2
3;3.6199;0.0933;47.2633;0.895;euclidean;5;distance;{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'};0.6391;0.6531;0.6578;0.6344;0.6297;0.6428;0.0109;3
13;3.6415;0.0729;57.0032;0.4822;manhattan;11;distance;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};0.6328;0.6609;0.6398;0.6422;0.6375;0.6427;0.0097;4
7;3.6717;0.0519;48.9691;0.8388;euclidean;19;distance;{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'};0.6203;0.6555;0.6461;0.6461;0.6234;0.6383;0.0139;5
12;3.5942;0.0538;57.3803;0.4919;manhattan;11;uniform;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'};0.6336;0.65;0.6359;0.6367;0.632;0.6377;0.0064;6
2;3.7019;0.0668;48.0431;1.0439;euclidean;5;uniform;{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'};0.6375;0.6438;0.6484;0.6336;0.6227;0.6372;0.0089;7
6;3.6287;0.0133;48.8144;0.8674;euclidean;19;uniform;{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'};0.6133;0.6516;0.6477;0.6469;0.625;0.6369;0.015;8
15;3.7029;0.1944;57.821;1.1773;manhattan;19;distance;{'metric': 'manhattan', 'n_neighbors': 19, 'weights': 'distance'};0.6312;0.643;0.6305;0.6375;0.6391;0.6362;0.0048;9
11;3.6222;0.0311;55.9836;0.5913;manhattan;5;distance;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};0.6195;0.6578;0.6508;0.6195;0.6242;0.6344;0.0165;10
8;3.6779;0.04;55.2717;0.7132;manhattan;3;uniform;{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'};0.6258;0.643;0.6383;0.6289;0.6297;0.6331;0.0064;11
10;3.6659;0.1136;56.1233;0.6869;manhattan;5;uniform;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'};0.6094;0.6555;0.6477;0.6227;0.6242;0.6319;0.0171;12
14;3.5991;0.0159;58.4421;0.8638;manhattan;19;uniform;{'metric': 'manhattan', 'n_neighbors': 19, 'weights': 'uniform'};0.6273;0.6367;0.6281;0.6328;0.632;0.6314;0.0034;13
9;3.6218;0.035;55.3253;0.6205;manhattan;3;distance;{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'};0.6227;0.6375;0.632;0.6273;0.6305;0.63;0.0049;14
0;3.6409;0.0594;46.8454;0.7997;euclidean;3;uniform;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'};0.6266;0.6312;0.6219;0.6234;0.618;0.6242;0.0045;15
1;3.5826;0.0449;46.6863;0.8897;euclidean;3;distance;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};0.6195;0.6344;0.625;0.6234;0.6125;0.623;0.0072;16
